sourceName,creationDate,startDate,endDate,value,unit
Billal’s Apple Watch,2023-08-26 18:07:09 -0400,2023-08-26 18:04:14 -0400,2023-08-26 18:07:09 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-08-31 16:55:43 -0400,2023-08-31 16:52:58 -0400,2023-08-31 16:55:43 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-09-02 23:15:51 -0400,2023-09-02 23:12:56 -0400,2023-09-02 23:15:51 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-09-03 21:09:56 -0400,2023-09-03 21:07:06 -0400,2023-09-03 21:09:56 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-09-04 19:44:55 -0400,2023-09-04 19:42:05 -0400,2023-09-04 19:44:55 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-09-05 16:10:45 -0400,2023-09-05 16:08:00 -0400,2023-09-05 16:10:45 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-09-06 20:38:40 -0400,2023-09-06 20:35:50 -0400,2023-09-06 20:38:40 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-09-09 22:58:01 -0400,2023-09-09 22:55:16 -0400,2023-09-09 22:58:01 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-09-09 23:18:11 -0400,2023-09-09 23:15:21 -0400,2023-09-09 23:18:11 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-09-09 23:43:21 -0400,2023-09-09 23:40:41 -0400,2023-09-09 23:43:21 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-09-10 00:17:41 -0400,2023-09-10 00:14:51 -0400,2023-09-10 00:17:41 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-09-10 00:40:46 -0400,2023-09-10 00:38:06 -0400,2023-09-10 00:40:46 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-09-11 18:51:03 -0400,2023-09-11 18:48:23 -0400,2023-09-11 18:51:03 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-09-13 18:07:46 -0400,2023-09-13 18:05:06 -0400,2023-09-13 18:07:46 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-09-16 22:21:31 -0400,2023-09-16 22:18:41 -0400,2023-09-16 22:21:31 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-09-17 00:15:16 -0400,2023-09-17 00:12:26 -0400,2023-09-17 00:15:16 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-09-22 23:34:32 -0400,2023-09-22 23:31:52 -0400,2023-09-22 23:34:32 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-09-23 01:09:37 -0400,2023-09-23 01:06:57 -0400,2023-09-23 01:09:37 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-09-23 19:10:24 -0400,2023-09-23 19:07:29 -0400,2023-09-23 19:10:24 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-09-29 13:25:39 -0400,2023-09-29 13:22:44 -0400,2023-09-29 13:25:39 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-09-30 22:34:58 -0400,2023-09-30 22:32:08 -0400,2023-09-30 22:34:58 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-10-05 12:56:01 -0400,2023-10-05 12:53:06 -0400,2023-10-05 12:56:01 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-10-06 21:01:17 -0400,2023-10-06 20:58:27 -0400,2023-10-06 21:01:17 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-10-06 23:08:02 -0400,2023-10-06 23:05:17 -0400,2023-10-06 23:08:02 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-10-07 00:05:04 -0400,2023-10-07 00:02:09 -0400,2023-10-07 00:05:04 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-10-20 22:07:00 -0400,2023-10-20 22:04:20 -0400,2023-10-20 22:07:00 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-10-20 22:41:25 -0400,2023-10-20 22:38:30 -0400,2023-10-20 22:41:25 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-10-20 23:23:10 -0400,2023-10-20 23:20:20 -0400,2023-10-20 23:23:10 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-10-21 17:29:19 -0400,2023-10-21 17:26:24 -0400,2023-10-21 17:29:19 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-10-21 21:44:44 -0400,2023-10-21 21:41:54 -0400,2023-10-21 21:44:44 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-10-21 23:01:04 -0400,2023-10-21 22:58:19 -0400,2023-10-21 23:01:04 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-10-21 23:56:44 -0400,2023-10-21 23:53:59 -0400,2023-10-21 23:56:44 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-10-30 17:02:33 -0400,2023-10-30 16:59:38 -0400,2023-10-30 17:02:33 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-11-11 21:26:57 -0400,2023-11-11 21:24:12 -0400,2023-11-11 21:26:57 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-11-12 00:17:52 -0400,2023-11-12 00:15:12 -0400,2023-11-12 00:17:52 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-11-12 01:05:40 -0400,2023-11-12 01:02:50 -0400,2023-11-12 01:05:40 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-11-16 17:17:07 -0400,2023-11-16 17:14:12 -0400,2023-11-16 17:17:07 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-11-18 23:31:01 -0400,2023-11-18 23:28:21 -0400,2023-11-18 23:31:01 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-11-22 19:25:23 -0400,2023-11-22 19:22:33 -0400,2023-11-22 19:25:23 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-11-27 20:39:22 -0400,2023-11-27 20:36:32 -0400,2023-11-27 20:39:22 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-11-29 21:52:32 -0400,2023-11-29 21:49:47 -0400,2023-11-29 21:52:32 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-12-02 16:20:01 -0400,2023-12-02 16:17:06 -0400,2023-12-02 16:20:01 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-12-02 16:40:06 -0400,2023-12-02 16:37:11 -0400,2023-12-02 16:40:06 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-12-02 20:38:35 -0400,2023-12-02 20:34:16 -0400,2023-12-02 20:37:06 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-12-03 16:39:51 -0400,2023-12-03 16:37:11 -0400,2023-12-03 16:39:51 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-12-03 20:09:28 -0400,2023-12-03 20:06:38 -0400,2023-12-03 20:09:28 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-12-04 15:26:09 -0400,2023-12-04 15:23:19 -0400,2023-12-04 15:26:09 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-12-05 11:50:43 -0400,2023-12-05 11:47:58 -0400,2023-12-05 11:50:43 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-12-17 00:07:28 -0400,2023-12-17 00:04:33 -0400,2023-12-17 00:07:28 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-12-22 22:22:32 -0400,2023-12-22 22:19:42 -0400,2023-12-22 22:22:32 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-12-24 20:15:24 -0400,2023-12-24 20:12:34 -0400,2023-12-24 20:15:24 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-12-24 22:01:09 -0400,2023-12-24 21:58:14 -0400,2023-12-24 22:01:09 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-12-25 00:30:04 -0400,2023-12-25 00:27:19 -0400,2023-12-25 00:30:04 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-12-31 17:51:32 -0400,2023-12-31 17:48:37 -0400,2023-12-31 17:51:32 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2023-12-31 18:15:22 -0400,2023-12-31 18:12:37 -0400,2023-12-31 18:15:22 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2024-01-01 21:14:58 -0400,2024-01-01 21:12:08 -0400,2024-01-01 21:14:58 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2024-01-02 18:20:23 -0400,2024-01-02 18:17:33 -0400,2024-01-02 18:20:23 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2024-01-04 20:44:57 -0400,2024-01-04 20:42:07 -0400,2024-01-04 20:44:57 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2024-01-04 23:48:31 -0400,2024-01-04 23:45:51 -0400,2024-01-04 23:48:31 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2024-01-05 23:41:23 -0400,2024-01-05 23:38:28 -0400,2024-01-05 23:41:23 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2024-01-06 00:30:53 -0400,2024-01-06 00:28:03 -0400,2024-01-06 00:30:53 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2024-01-07 18:54:37 -0400,2024-01-07 18:51:57 -0400,2024-01-07 18:54:37 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2024-01-22 23:42:50 -0400,2024-01-22 23:39:55 -0400,2024-01-22 23:42:50 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2024-01-27 15:52:33 -0400,2024-01-27 15:49:38 -0400,2024-01-27 15:52:33 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2024-02-09 17:30:17 -0400,2024-02-09 17:27:27 -0400,2024-02-09 17:30:17 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2024-02-10 23:54:58 -0400,2024-02-10 23:52:08 -0400,2024-02-10 23:54:58 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2024-02-12 00:55:53 -0400,2024-02-12 00:53:08 -0400,2024-02-12 00:55:53 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2024-02-17 21:26:40 -0400,2024-02-17 21:24:00 -0400,2024-02-17 21:26:40 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2024-02-24 23:03:20 -0400,2024-02-24 23:00:30 -0400,2024-02-24 23:03:20 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
Billal’s Apple Watch,2024-02-24 23:30:15 -0400,2024-02-24 23:27:30 -0400,2024-02-24 23:30:15 -0400,HKCategoryValueEnvironmentalAudioExposureEventMomentaryLimit,
